REF_DATE,GEO,DGUID,Estimate,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2001-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,657.36,,,,2
2001-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,653.8,,,,2
2001-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,655.4,,,,2
2001-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,652.66,,,,2
2001-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,652.49,,,,2
2001-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,657.03,,,,2
2001-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,656.66,,,,2
2001-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,659.75,,,,2
2001-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,660.22,,,,2
2001-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,661.25,,,,2
2001-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,659.99,,,,2
2001-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,660.58,,,,2
2002-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,663.43,,,,2
2002-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,660.13,,,,2
2002-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,667.45,,,,2
2002-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,672.46,,,,2
2002-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,671.84,,,,2
2002-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,670.72,,,,2
2002-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,677.13,,,,2
2002-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,672.55,,,,2
2002-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,674.26,,,,2
2002-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,679.67,,,,2
2002-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,680.67,,,,2
2002-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,685.57,,,,2
2003-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,680.75,,,,2
2003-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,687.27,,,,2
2003-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,682.71,,,,2
2003-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,686.09,,,,2
2003-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,685.09,,,,2
2003-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,691.7,,,,2
2003-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,691.13,,,,2
2003-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,694.46,,,,2
2003-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,697.47,,,,2
2003-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,697.15,,,,2
2003-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,700.72,,,,2
2003-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,698.76,,,,2
2004-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,702.23,,,,2
2004-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,701.8,,,,2
2004-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,705.49,,,,2
2004-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,704.41,,,,2
2004-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,710.26,,,,2
2004-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,706.11,,,,2
2004-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,709,,,,2
2004-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,711.72,,,,2
2004-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,710.78,,,,2
2004-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,712.38,,,,2
2004-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,717.24,,,,2
2004-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,719.77,,,,2
2005-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,725.54,,,,2
2005-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,731.98,,,,2
2005-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,725.52,,,,2
2005-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,728.97,,,,2
2005-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,733.3,,,,2
2005-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,735.75,,,,2
2005-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,736.08,,,,2
2005-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,741.61,,,,2
2005-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,749.59,,,,2
2005-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,745.81,,,,2
2005-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,745.05,,,,2
2005-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,744.17,,,,2
2006-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,745.93,,,,2
2006-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,745.78,,,,2
2006-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,748.61,,,,2
2006-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,750.69,,,,2
2006-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,751.17,,,,2
2006-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,751.96,,,,2
2006-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,754.68,,,,2
2006-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,759.05,,,,2
2006-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,756.72,,,,2
2006-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,762.38,,,,2
2006-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,761.14,,,,2
2006-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,772.71,,,,2
2007-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,774.07,,,,2
2007-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,771.21,,,,2
2007-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,780.91,,,,2
2007-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,781.57,,,,2
2007-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,786.17,,,,2
2007-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,790.94,,,,2
2007-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,791.98,,,,2
2007-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,789.5,,,,2
2007-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,790.84,,,,2
2007-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,794.09,,,,2
2007-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,799.67,,,,2
2007-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,798.54,,,,2
2008-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,798.27,,,,2
2008-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,803.74,,,,2
2008-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,805.49,,,,2
2008-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,809.31,,,,2
2008-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,808.84,,,,2
2008-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,809.76,,,,2
2008-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,811.19,,,,2
2008-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,811.77,,,,2
2008-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,813.47,,,,2
2008-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,818.1,,,,2
2008-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,818.74,,,,2
2008-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,813.43,,,,2
2009-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,815.94,A,,,2
2009-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,818.61,A,,,2
2009-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,820.06,A,,,2
2009-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,817.66,A,,,2
2009-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,818.15,A,,,2
2009-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,821.22,A,,,2
2009-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,822.33,A,,,2
2009-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,821.93,A,,,2
2009-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,827.11,A,,,2
2009-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,825.38,A,,,2
2009-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,828.15,A,,,2
2009-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,833.11,A,,,2
2010-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,834.36,A,,,2
2010-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,841.54,A,,,2
2010-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,842.01,A,,,2
2010-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,845.79,A,,,2
2010-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,847.06,A,,,2
2010-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,850.35,A,,,2
2010-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,853.54,A,,,2
2010-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,858.61,A,,,2
2010-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,864.38,A,,,2
2010-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,860.08,A,,,2
2010-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,863.8,A,,,2
2010-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,866.32,A,,,2
2011-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,872.72,A,,,2
2011-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,870.85,A,,,2
2011-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,870.39,A,,,2
2011-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,870.22,A,,,2
2011-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,871.56,A,,,2
2011-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,870.5,A,,,2
2011-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,868.95,A,,,2
2011-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,872.67,A,,,2
2011-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,872.48,A,,,2
2011-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,881.94,A,,,2
2011-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,880.37,A,,,2
2011-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,881.02,A,,,2
2012-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,885.08,A,,,2
2012-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,881.2,A,,,2
